

--- Inversion on [256, 128] grid with wTVReg and alpha=1.0 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
 15.0	5.76e-02	5.21e-02	5.74e-02	9.42e-01	835
   .1	5.61e-02	5.24e-02			9.31e-01
 16.0	5.61e-02	5.24e-02	5.74e-02	9.31e-01	810
   .1	5.50e-02	5.27e-02			9.25e-01
 17.0	5.50e-02	5.27e-02	5.74e-02	9.25e-01	797
   .1	5.40e-02	5.31e-02			9.19e-01
 18.0	5.40e-02	5.31e-02	5.74e-02	9.19e-01	757
   .1	5.32e-02	5.33e-02			9.14e-01
 19.0	5.32e-02	5.33e-02	5.74e-02	9.14e-01	796
   .1	5.27e-02	5.34e-02			9.11e-01
 20.0	5.27e-02	5.34e-02	5.74e-02	9.11e-01	886
   .1	5.21e-02	5.36e-02			9.07e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.01592411608522165 instead 0.001.


--- Inversion on [256, 128] grid with wTVReg and alpha=0.035622478902624426 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	5.21e-02	3.33e-02	3.56e-02	1.00e+00	764
   .1	5.03e-02	3.39e-02			9.86e-01
  2.0	5.03e-02	3.39e-02	3.56e-02	9.86e-01	1046
   .1	4.93e-02	3.43e-02			9.79e-01
  3.0	4.93e-02	3.43e-02	3.56e-02	9.79e-01	1159
   .1	4.80e-02	3.49e-02			9.71e-01
  4.0	4.80e-02	3.49e-02	3.56e-02	9.71e-01	1029
   .1	4.69e-02	3.53e-02			9.62e-01
  5.0	4.69e-02	3.53e-02	3.56e-02	9.62e-01	1023
   .1	4.58e-02	3.55e-02			9.53e-01
  6.0	4.58e-02	3.55e-02	3.56e-02	9.53e-01	911
   .1	4.45e-02	3.59e-02			9.42e-01
  7.0	4.45e-02	3.59e-02	3.56e-02	9.42e-01	1067
   .1	4.28e-02	3.64e-02			9.29e-01
  8.0	4.28e-02	3.64e-02	3.56e-02	9.29e-01	1030
   .1	4.15e-02	3.69e-02			9.18e-01
  9.0	4.15e-02	3.69e-02	3.56e-02	9.18e-01	894
   .1	4.05e-02	3.72e-02			9.11e-01
 10.0	4.05e-02	3.72e-02	3.56e-02	9.11e-01	963
   .1	3.98e-02	3.75e-02			9.05e-01
 11.0	3.98e-02	3.75e-02	3.56e-02	9.05e-01	938
   .1	3.90e-02	3.78e-02			9.00e-01
 12.0	3.90e-02	3.78e-02	3.56e-02	9.00e-01	848
   .1	3.85e-02	3.79e-02			8.96e-01
 13.0	3.85e-02	3.79e-02	3.56e-02	8.96e-01	904
   .1	3.80e-02	3.81e-02			8.92e-01
 14.0	3.80e-02	3.81e-02	3.56e-02	8.92e-01	909
   .1	3.76e-02	3.83e-02			8.89e-01
 15.0	3.76e-02	3.83e-02	3.56e-02	8.89e-01	841
   .1	3.72e-02	3.85e-02			8.87e-01
 16.0	3.72e-02	3.85e-02	3.56e-02	8.87e-01	761
   .1	3.69e-02	3.86e-02			8.85e-01
 17.0	3.69e-02	3.86e-02	3.56e-02	8.85e-01	784
   .1	3.68e-02	3.86e-02			8.83e-01
 18.0	3.68e-02	3.86e-02	3.56e-02	8.83e-01	845
   .1	3.66e-02	3.86e-02			8.82e-01
 19.0	3.66e-02	3.86e-02	3.56e-02	8.82e-01	825
