

--- Inversion on [96, 48, 48] grid with wTVReg and alpha=1.0 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  2.0	2.01e-02	2.54e-02	2.21e-02	9.97e-01	28594
   .1	1.99e-02	2.55e-02			9.96e-01
  3.0	1.99e-02	2.55e-02	2.21e-02	9.96e-01	21678
   .1	1.97e-02	2.57e-02			9.94e-01
  4.0	1.97e-02	2.57e-02	2.21e-02	9.94e-01	25519
   .1	1.92e-02	2.59e-02			9.90e-01
  5.0	1.92e-02	2.59e-02	2.21e-02	9.90e-01	41223
   .1	1.85e-02	2.63e-02			9.82e-01
  6.0	1.85e-02	2.63e-02	2.21e-02	9.82e-01	37825
   .1	1.78e-02	2.66e-02			9.73e-01
  7.0	1.78e-02	2.66e-02	2.21e-02	9.73e-01	35720
   .1	1.70e-02	2.69e-02			9.63e-01
  8.0	1.70e-02	2.69e-02	2.21e-02	9.63e-01	39537
   .1	1.66e-02	2.71e-02			9.57e-01
  9.0	1.66e-02	2.71e-02	2.21e-02	9.57e-01	41728
   .1	1.63e-02	2.71e-02			9.53e-01
 10.0	1.63e-02	2.71e-02	2.21e-02	9.53e-01	35677
   .1	1.62e-02	2.72e-02			9.51e-01
 11.0	1.62e-02	2.72e-02	2.21e-02	9.51e-01	41938
   .1	1.62e-02	2.72e-02			9.50e-01
 12.0	1.62e-02	2.72e-02	2.21e-02	9.50e-01	33416
   .1	1.62e-02	2.71e-02			9.50e-01
 13.0	1.62e-02	2.71e-02	2.21e-02	9.50e-01	36894
   .1	1.62e-02	2.71e-02			9.49e-01
 14.0	1.62e-02	2.71e-02	2.21e-02	9.49e-01	28682
   .1	1.62e-02	2.71e-02			9.49e-01
 15.0	1.62e-02	2.71e-02	2.21e-02	9.49e-01	30151
   .1	1.62e-02	2.71e-02			9.49e-01
 16.0	1.62e-02	2.71e-02	2.21e-02	9.49e-01	30324
   .1	1.62e-02	2.71e-02			9.48e-01
 17.0	1.62e-02	2.71e-02	2.21e-02	9.48e-01	27367
   .1	1.62e-02	2.71e-02			9.48e-01
 18.0	1.62e-02	2.71e-02	2.21e-02	9.48e-01	27946
   .1	1.62e-02	2.71e-02			9.48e-01
 19.0	1.62e-02	2.71e-02	2.21e-02	9.48e-01	23408
   .1	1.62e-02	2.71e-02			9.48e-01
 20.0	1.62e-02	2.71e-02	2.21e-02	9.48e-01	21620
   .1	1.62e-02	2.71e-02			9.48e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.003165000112038796 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.01373823795883263 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.62e-02	1.68e-02	1.37e-02	1.00e+00	19579
   .1	1.59e-02	1.70e-02			9.97e-01
  2.0	1.59e-02	1.70e-02	1.37e-02	9.97e-01	33665
   .1	1.57e-02	1.71e-02			9.96e-01
  3.0	1.57e-02	1.71e-02	1.37e-02	9.96e-01	30293
   .1	1.56e-02	1.72e-02			9.95e-01
  4.0	1.56e-02	1.72e-02	1.37e-02	9.95e-01	31440
   .1	1.55e-02	1.73e-02			9.94e-01
  5.0	1.55e-02	1.73e-02	1.37e-02	9.94e-01	24665
   .1	1.54e-02	1.74e-02			9.94e-01
  6.0	1.54e-02	1.74e-02	1.37e-02	9.94e-01	29428
   .1	1.54e-02	1.74e-02			9.93e-01
  7.0	1.54e-02	1.74e-02	1.37e-02	9.93e-01	30013
   .1	1.53e-02	1.74e-02			9.92e-01
  8.0	1.53e-02	1.74e-02	1.37e-02	9.92e-01	30707
   .1	1.53e-02	1.74e-02			9.92e-01
  9.0	1.53e-02	1.74e-02	1.37e-02	9.92e-01	28255
   .1	1.53e-02	1.74e-02			9.92e-01
 10.0	1.53e-02	1.74e-02	1.37e-02	9.92e-01	27358
   .1	1.53e-02	1.74e-02			9.91e-01
 11.0	1.53e-02	1.74e-02	1.37e-02	9.91e-01	29525
   .1	1.52e-02	1.74e-02			9.91e-01
 12.0	1.52e-02	1.74e-02	1.37e-02	9.91e-01	32057
   .1	1.52e-02	1.75e-02			9.91e-01
 13.0	1.52e-02	1.75e-02	1.37e-02	9.91e-01	29279
   .1	1.52e-02	1.75e-02			9.91e-01
 14.0	1.52e-02	1.75e-02	1.37e-02	9.91e-01	27836
   .1	1.52e-02	1.75e-02			9.90e-01
 15.0	1.52e-02	1.75e-02	1.37e-02	9.90e-01	30243
   .1	1.52e-02	1.75e-02			9.90e-01
 16.0	1.52e-02	1.75e-02	1.37e-02	9.90e-01	33221
   .1	1.51e-02	1.75e-02			9.89e-01
 17.0	1.51e-02	1.75e-02	1.37e-02	9.89e-01	32446
   .1	1.51e-02	1.75e-02			9.89e-01
 18.0	1.51e-02	1.75e-02	1.37e-02	9.89e-01	32376
   .1	1.51e-02	1.75e-02			9.89e-01
 19.0	1.51e-02	1.75e-02	1.37e-02	9.89e-01	30246
   .1	1.51e-02	1.75e-02			9.88e-01
 20.0	1.51e-02	1.75e-02	1.37e-02	9.88e-01	31048
   .1	1.51e-02	1.75e-02			9.88e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.005014117702459409 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.008531678524172805 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.51e-02	1.09e-02	8.53e-03	1.00e+00	31980
   .1	1.49e-02	1.10e-02			9.97e-01
  2.0	1.49e-02	1.10e-02	8.53e-03	9.97e-01	46998
   .1	1.47e-02	1.11e-02			9.95e-01
  3.0	1.47e-02	1.11e-02	8.53e-03	9.95e-01	41018
   .1	1.45e-02	1.12e-02			9.92e-01
  4.0	1.45e-02	1.12e-02	8.53e-03	9.92e-01	54142
   .1	1.44e-02	1.13e-02			9.88e-01
  5.0	1.44e-02	1.13e-02	8.53e-03	9.88e-01	47651
   .1	1.43e-02	1.13e-02			9.86e-01
  6.0	1.43e-02	1.13e-02	8.53e-03	9.86e-01	42896
   .1	1.42e-02	1.13e-02			9.85e-01
  7.0	1.42e-02	1.13e-02	8.53e-03	9.85e-01	42388
   .1	1.42e-02	1.13e-02			9.84e-01
  8.0	1.42e-02	1.13e-02	8.53e-03	9.84e-01	40551
   .1	1.42e-02	1.13e-02			9.84e-01
  9.0	1.42e-02	1.13e-02	8.53e-03	9.84e-01	41361
   .1	1.42e-02	1.13e-02			9.83e-01
 10.0	1.42e-02	1.13e-02	8.53e-03	9.83e-01	40184
   .1	1.42e-02	1.13e-02			9.83e-01
 11.0	1.42e-02	1.13e-02	8.53e-03	9.83e-01	39844
   .1	1.42e-02	1.13e-02			9.83e-01
 12.0	1.42e-02	1.13e-02	8.53e-03	9.83e-01	34131
   .1	1.42e-02	1.13e-02			9.83e-01
 13.0	1.42e-02	1.13e-02	8.53e-03	9.83e-01	31151
   .1	1.42e-02	1.13e-02			9.83e-01
 14.0	1.42e-02	1.13e-02	8.53e-03	9.83e-01	33683
   .1	1.42e-02	1.13e-02			9.83e-01
 15.0	1.42e-02	1.13e-02	8.53e-03	9.83e-01	27880
   .1	1.42e-02	1.13e-02			9.83e-01
 16.0	1.42e-02	1.13e-02	8.53e-03	9.83e-01	27152
   .1	1.42e-02	1.13e-02			9.83e-01
 17.0	1.42e-02	1.13e-02	8.53e-03	9.83e-01	28000
   .1	1.42e-02	1.13e-02			9.83e-01
 18.0	1.42e-02	1.13e-02	8.53e-03	9.83e-01	26970
   .1	1.42e-02	1.13e-02			9.83e-01
 19.0	1.42e-02	1.13e-02	8.53e-03	9.83e-01	25025
   .1	1.42e-02	1.13e-02			9.83e-01
 20.0	1.42e-02	1.13e-02	8.53e-03	9.83e-01	23932
   .1	1.42e-02	1.13e-02			9.83e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.0025238535091977043 instead 0.001.


